Backe;Färg;Nummer
Skidskolebacken;Grön;1
Barnbacken;Grön;2
Harlyckan;Grön;3
Björnidet;Grön;4
Trollriket nord;Grön;5
Trollriket syd;Grön;6
Kläppen Junior Snowpark;Grön;7
Trollslope;Grön;8
Skogsmusslingan;Grön;9
Skogssniglen;Grön;10
Rådjursstigen;Grön;11
Lämmeltåget;Grön;12
Hermelinsvängen;Blå;13
Hjorthornet;Grön;14
Mullvadsgången;Grön;15
Myrstigen;Grön;16
Grävlingsgrytet;Grön;17
Järvlunken;Blå;18
Utterleken;Blå;19
Humlan;Grön;20
Bäverdalen;Blå;21
Fjällräven;Blå;22
Illern;Blå;23
Skogsmården;Blå;24
Ekorrsvansen;Blå;25
Renfållan;Grön;26
Familjebacken;Röd;27
Älgstråket;Röd;28
Minkspåret;Röd;30
Lostupet;Svart;31
Snövesslan;Svart;32
Trollfallet;Svart;33
Grottbranten;Svart;34
Ormtungan;Blå;35
Blåvingen;Blå;40
Kläppen Blue line;Blå;41